UID          PID    PPID  C STIME TTY          TIME CMD
root        1653    1107  0 14:46 ?        00:00:00 gdm-session-worker [pam/gdm-password]
carey-ca    1666       1  0 14:46 ?        00:00:00 /lib/systemd/systemd --user
carey-ca    1667    1666  0 14:46 ?        00:00:00 (sd-pam)
carey-ca    1673    1666  0 14:46 ?        00:00:00 /usr/bin/pipewire
carey-ca    1674    1666  0 14:46 ?        00:00:00 /usr/bin/pipewire-media-session
carey-ca    1675    1666  0 14:46 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
carey-ca    1683       1  0 14:46 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
carey-ca    1687    1666  0 14:46 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
carey-ca    1689    1666  0 14:46 ?        00:00:00 /usr/libexec/gvfsd
carey-ca    1694    1666  0 14:46 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
carey-ca    1712    1666  0 14:46 ?        00:00:00 /usr/libexec/xdg-document-portal
carey-ca    1717    1666  0 14:46 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
carey-ca    1718    1666  0 14:46 ?        00:00:00 /usr/libexec/xdg-permission-store
root        1724    1712  0 14:46 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
carey-ca    1741    1666  0 14:46 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
carey-ca    1747    1666  0 14:46 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
carey-ca    1751    1666  0 14:46 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
carey-ca    1755    1666  0 14:46 ?        00:00:01 /usr/libexec/goa-daemon
carey-ca    1763    1666  0 14:46 ?        00:00:00 /usr/libexec/goa-identity-service
carey-ca    1765    1666  0 14:46 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
carey-ca    1772    1666  0 14:46 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
carey-ca    1796    1653  0 14:46 tty2     00:00:00 /usr/libexec/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
root        1798    1796  1 14:46 tty2     00:01:19 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
carey-ca    1801    1666  0 14:46 ?        00:00:00 /usr/bin/gnome-keyring-daemon --start --foreground --components=secrets
carey-ca    1837    1796  0 14:46 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
carey-ca    1910    1666  0 14:46 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
carey-ca    1916    1910  0 14:46 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_1
carey-ca    1923    1666  0 14:46 ?        00:00:00 /snap/snapd-desktop-integration/49/usr/bin/snapd-desktop-integration
carey-ca    1932    1666  0 14:46 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
carey-ca    1945    1666  0 14:46 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
carey-ca    2001    1666  0 14:46 ?        00:00:38 /usr/bin/gnome-shell
carey-ca    2026    1923  0 14:46 ?        00:00:00 /snap/snapd-desktop-integration/49/usr/bin/snapd-desktop-integration
carey-ca    2031    1666  0 14:46 ?        00:00:00 /usr/libexec/xdg-desktop-portal
carey-ca    2035    1666  0 14:46 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
carey-ca    2047    1666  0 14:46 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
carey-ca    2052    1666  0 14:46 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
carey-ca    2054    1666  0 14:46 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
carey-ca    2068    1666  0 14:46 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
carey-ca    2076    1666  0 14:46 ?        00:00:00 /usr/libexec/evolution-source-registry
carey-ca    2083    1666  0 14:46 ?        00:00:00 /usr/libexec/dconf-service
carey-ca    2086    1666  0 14:46 ?        00:00:00 /usr/libexec/gvfsd-metadata
carey-ca    2095    1666  0 14:46 ?        00:00:00 /usr/libexec/evolution-calendar-factory
carey-ca    2110    1666  0 14:46 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
carey-ca    2134    1689  0 14:46 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.2 /org/gtk/gvfs/exec_spaw/0
carey-ca    2141    1666  0 14:46 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
carey-ca    2151    1666  0 14:46 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
carey-ca    2154    2151  0 14:46 ?        00:00:00 /usr/bin/ibus-daemon --panel disable --xim
carey-ca    2155    1666  0 14:46 ?        00:00:00 /usr/libexec/gsd-a11y-settings
carey-ca    2156    1666  0 14:46 ?        00:00:00 /usr/libexec/gsd-color
carey-ca    2158    1666  0 14:46 ?        00:00:00 /usr/libexec/gsd-datetime
carey-ca    2159    1666  0 14:46 ?        00:00:00 /usr/libexec/gsd-housekeeping
carey-ca    2162    1666  0 14:46 ?        00:00:00 /usr/libexec/gsd-keyboard
carey-ca    2163    1666  0 14:46 ?        00:00:00 /usr/libexec/gsd-media-keys
carey-ca    2164    1666  0 14:46 ?        00:00:00 /usr/libexec/gsd-power
carey-ca    2169    1666  0 14:46 ?        00:00:00 /usr/libexec/gsd-print-notifications
carey-ca    2170    1666  0 14:46 ?        00:00:00 /usr/libexec/gsd-rfkill
carey-ca    2172    1666  0 14:46 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
carey-ca    2177    1666  0 14:46 ?        00:00:00 /usr/libexec/gsd-sharing
carey-ca    2180    1666  0 14:46 ?        00:00:00 /usr/libexec/gsd-smartcard
carey-ca    2184    1666  0 14:46 ?        00:00:00 /usr/libexec/gsd-sound
carey-ca    2186    1666  0 14:46 ?        00:00:00 /usr/libexec/gsd-wacom
carey-ca    2192    1666  0 14:46 ?        00:00:00 /usr/libexec/gsd-xsettings
carey-ca    2199    1945  0 14:46 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
carey-ca    2220    1945  0 14:46 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
carey-ca    2229    2154  0 14:46 ?        00:00:00 /usr/libexec/ibus-dconf
carey-ca    2230    2154  0 14:46 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
carey-ca    2236    1666  0 14:46 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
carey-ca    2238    1666  0 14:46 ?        00:00:00 /usr/libexec/ibus-portal
carey-ca    2257    1666  0 14:46 ?        00:00:00 /usr/libexec/gsd-printer
carey-ca    2335    2154  0 14:46 ?        00:00:00 /usr/libexec/ibus-engine-simple
carey-ca    2462    1666  0 14:46 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
carey-ca    2464    1666  0 14:46 ?        00:00:09 /usr/libexec/gnome-terminal-server
carey-ca    2465    1666  0 14:46 ?        00:00:00 /usr/bin/seahorse --gapplication-service
carey-ca    2530    2464  0 14:46 pts/0    00:00:00 bash
carey-ca    2634    1945  0 14:47 ?        00:00:00 update-notifier
carey-ca    2672    1666  0 14:47 ?        00:00:01 /usr/bin/python3 /usr/bin/update-manager --no-update --no-focus-on-map
root        3707       2  0 14:56 ?        00:00:00 [kworker/u2:2-events_power_efficient]
carey-ca    3828    2001  0 15:08 ?        00:00:00 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:800:600:1:27:0:0:0:0
carey-ca    5426    1683  0 15:21 ?        00:00:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
carey-ca    5428    1666  0 15:22 ?        00:00:00 ssh-agent -s
root        5574       2  0 15:39 ?        00:00:00 [kworker/u2:0-events_power_efficient]
root        5577       2  0 15:43 ?        00:00:00 [kworker/0:2-events]
root        5655       2  0 15:50 ?        00:00:00 [kworker/u2:1-events_unbound]
carey-ca    5658    2530  0 15:53 pts/0    00:00:00 ps -ef
